ax,ay,az
14234,-920,16993
17294,-834,17090
17294,-834,17090
19784,-878,17190
19784,-878,17190
21144,-836,17226
22348,-850,17244
23398,-815,17259
24618,-686,17286
25780,-638,17311
26464,-660,17307
27107,-609,17290
28098,-525,17335
29008,-460,17426
29601,-410,17451
30218,-346,17427
30893,-254,17428
31334,-152,17440
31742,-36,17468
32346,94,17512
32764,213,17535
32764,339,17522
32764,589,17496
32764,956,17487
32764,1300,17481
32764,1660,17465
32764,2046,17465
32764,2406,17463
32764,2406,17463
32764,3092,17466
32764,3092,17466
32520,3410,17432
31809,3460,17363
31107,3512,17316
30224,3455,17270
29251,3346,17228
28407,3158,17232
28407,3158,17232
26090,2420,17139
26090,2420,17139
23856,1876,17087
23856,1876,17087
21230,1208,17035
21230,1208,17035
18424,638,16957
18424,638,16957
15689,292,16888
15689,292,16888
14088,102,16814
12609,-103,16761
11170,-222,16733
9602,-318,16680
8086,-426,16622
6649,-508,16595
5094,-573,16576
3529,-611,16539
2074,-588,16493
594,-585,16432
-916,-637,16367
-2336,-640,16314
-3727,-628,16268
-5195,-652,16232
-6716,-662,16188
-8154,-656,16120
-9479,-669,16058
-10934,-704,16000
-12432,-677,15938
-13658,-593,15902
-14859,-570,15895
-16342,-650,15835
-17820,-731,15726
-19038,-762,15668
-20265,-770,15675
-21534,-771,15685
-22622,-828,15669
-23832,-933,15616
-25258,-998,15549
-26312,-1041,15528
-26991,-1090,15539
-28022,-1141,15511
-29252,-1224,15469
-29891,-1268,15491
-29891,-1268,15491
-31246,-1267,15533
-31246,-1267,15533
-32555,-1312,15466
-32555,-1312,15466
-32764,-1351,15516
-32764,-1351,15516
-32764,-1356,15508
-32764,-1356,15508
-32764,-1334,15523
-32764,-1334,15523
-32764,-1323,15525
-32764,-1273,15533
-32764,-1244,15554
-32764,-1256,15565
-32764,-1204,15560
-31670,-1135,15621
-31670,-1135,15621
-29931,-1048,15801
-29931,-1048,15801
-28808,-1026,15812
-28808,-1026,15770
-27925,-924,15774
-26829,-775,15831
-25552,-632,15892
-24157,-536,15946
-23060,-474,15988
-22376,-409,15970
-21451,-312,15923
-19803,-194,15957
-17831,-90,16062
-16222,-62,16147
-15108,-63,16162
-14049,-58,16112
-12506,-86,16099
-10551,62,16186
-8769,221,16318
-7200,38,16432
-5532,-181,16516
-3836,-243,16577
-2280,-328,16612
-852,-450,16602
570,-578,16584
570,-578,16584
3771,-676,16695
3771,-676,16695
6737,-794,16849
6737,-794,16849
9851,-832,16956
11506,-852,17021
12872,-946,17067
14126,-1011,17082
15564,-962,17069
17079,-922,17073
17079,-922,17073
19598,-886,17171
19598,-886,17171
22208,-760,17250
22208,-760,17250
24416,-726,17305
24416,-726,17305
26305,-663,17316
26305,-663,17316
28252,-515,17344
28252,-515,17344
29169,-438,17433
29415,-456,17425
30004,-437,17406
30864,-341,17431
31245,-245,17433
31640,-167,17435
32466,-76,17483
32764,57,17512
32764,227,17495
32764,451,17479
32764,776,17482
32764,1148,17474
32764,1548,17460
32764,1963,17476
32764,2298,17473
32764,2648,17429
32764,3088,17408
32764,3395,17416
32764,3526,17402
32078,3629,17350
31277,3623,17295
30272,3464,17261
29347,3387,17252
28676,3288,17261
27618,2918,17223
26192,2552,17146
