t, ax, ay, az, da
0, 14234, -920, 16993, 0
1, 17294, -834, 17090, 31928.5
2, 17294, -834, 17090, 33550.0
3, 19784, -878, 17190, 34823.0
4, 19784, -878, 17190, 36096.0
5, 21144, -836, 17226, 36815.0
6, 22348, -850, 17244, 38138.0
7, 23398, -815, 17259, 39292.0
8, 24618, -686, 17286, 40530.0
9, 25780, -638, 17311, 41835.5
10, 26464, -660, 17307, 42782.0
11, 27107, -609, 17290, 43449.5
12, 28098, -525, 17335, 44348.0
13, 29008, -460, 17426, 45441.0
14, 29601, -410, 17451, 46308.0
15, 30218, -346, 17427, 46970.5
16, 30893, -254, 17428, 47683.0
17, 31334, -152, 17440, 48344.5
18, 31742, -36, 17468, 48898.0
19, 32346, 94, 17512, 49563.0
20, 32764, 213, 17535, 50232.0
21, 32764, 339, 17522, 50568.5
22, 32764, 589, 17496, 50737.0
23, 32764, 956, 17487, 51028.0
24, 32764, 1300, 17481, 51376.0
25, 32764, 1660, 17465, 51717.0
26, 32764, 2046, 17465, 52082.0
27, 32764, 2406, 17463, 52454.0
28, 32764, 2406, 17463, 52633.0
29, 32764, 3092, 17466, 52977.5
30, 32764, 3092, 17466, 53322.0
31, 32520, 3410, 17432, 53342.0
32, 31809, 3460, 17363, 52997.0
33, 31107, 3512, 17316, 52283.5
34, 30224, 3455, 17270, 51442.0
35, 29251, 3346, 17228, 50387.0
36, 28407, 3158, 17232, 49311.0
37, 28407, 3158, 17232, 48797.0
38, 26090, 2420, 17139, 47223.0
39, 26090, 2420, 17139, 45649.0
40, 23856, 1876, 17087, 44234.0
41, 23856, 1876, 17087, 42819.0
42, 21230, 1208, 17035, 41146.0
43, 21230, 1208, 17035, 39473.0
44, 18424, 638, 16957, 37746.0
45, 18424, 638, 16957, 36019.0
46, 15689, 292, 16888, 34444.0
47, 15689, 292, 16888, 32869.0
48, 14088, 102, 16814, 31936.5
49, 12609, -103, 16761, 30135.5
50, 11170, -222, 16733, 28474.0
51, 9602, -318, 16680, 26822.5
52, 8086, -426, 16622, 25123.0
53, 6649, -508, 16595, 23509.0
54, 5094, -573, 16576, 21916.5
55, 3529, -611, 16539, 20277.0
56, 2074, -588, 16493, 18718.0
57, 594, -585, 16432, 17210.0
58, -916, -637, 16367, 15627.5
59, -2336, -640, 16314, 14076.0
60, -3727, -628, 16268, 12625.5
61, -5195, -652, 16232, 11149.0
62, -6716, -662, 16188, 9597.5
63, -8154, -656, 16120, 8060.0
64, -9479, -669, 16058, 6610.0
65, -10934, -704, 16000, 5136.0
66, -12432, -677, 15938, 3595.5
67, -13658, -593, 15902, 2240.0
68, -14859, -570, 15895, 1058.5
69, -16342, -650, 15835, -345.5
70, -17820, -731, 15726, -1991.0
71, -19038, -762, 15668, -3478.5
72, -20265, -770, 15675, -4746.0
73, -21534, -771, 15685, -5990.0
74, -22622, -828, 15669, -7200.5
75, -23832, -933, 15616, -8465.0
76, -25258, -998, 15549, -9928.0
77, -26312, -1041, 15528, -11266.0
78, -26991, -1090, 15539, -12183.5
79, -28022, -1141, 15511, -13097.0
80, -29252, -1224, 15469, -14329.5
81, -29891, -1268, 15491, -15337.5
82, -29891, -1268, 15491, -15668.0
83, -31246, -1267, 15533, -16324.0
84, -31246, -1267, 15533, -16980.0
85, -32555, -1312, 15466, -17690.5
86, -32555, -1312, 15466, -18401.0
87, -32764, -1351, 15516, -18500.0
88, -32764, -1351, 15516, -18599.0
89, -32764, -1356, 15508, -18605.5
90, -32764, -1356, 15508, -18612.0
91, -32764, -1334, 15523, -18593.5
92, -32764, -1334, 15523, -18575.0
93, -32764, -1323, 15525, -18568.5
94, -32764, -1273, 15533, -18533.0
95, -32764, -1244, 15554, -18479.0
96, -32764, -1256, 15565, -18454.5
97, -32764, -1204, 15560, -18431.5
98, -31670, -1135, 15621, -17796.0
99, -31670, -1135, 15621, -17184.0
100, -29931, -1048, 15801, -16181.0
101, -29931, -1048, 15801, -15178.0
102, -28808, -1026, 15812, -14600.0
103, -28808, -1026, 15770, -14043.0
104, -27925, -924, 15774, -13569.5
105, -26829, -775, 15831, -12424.0
106, -25552, -632, 15892, -11032.5
107, -24157, -536, 15946, -9519.5
108, -23060, -474, 15988, -8146.5
109, -22376, -409, 15970, -7180.5
110, -21451, -312, 15923, -6327.5
111, -19803, -194, 15957, -4940.0
112, -17831, -90, 16062, -2949.5
113, -16222, -62, 16147, -998.0
114, -15108, -63, 16162, 427.0
115, -14049, -58, 16112, 1498.0
116, -12506, -86, 16099, 2756.0
117, -10551, 62, 16186, 4602.0
118, -8769, 221, 16318, 6733.5
119, -7200, 38, 16432, 8520.0
120, -5532, -181, 16516, 10036.5
121, -3836, -243, 16577, 11650.5
122, -2280, -328, 16612, 13251.0
123, -852, -450, 16602, 14652.0
124, 570, -578, 16584, 15938.0
125, 570, -578, 16584, 16576.0
126, 3771, -676, 16695, 18183.0
127, 3771, -676, 16695, 19790.0
128, 6737, -794, 16849, 21291.0
129, 6737, -794, 16849, 22792.0
130, 9851, -832, 16956, 24383.5
131, 11506, -852, 17021, 26825.0
132, 12872, -946, 17067, 28334.0
133, 14126, -1011, 17082, 29595.0
134, 15564, -962, 17069, 30934.0
135, 17079, -922, 17073, 32450.5
136, 17079, -922, 17073, 33230.0
137, 19598, -886, 17171, 34556.5
138, 19598, -886, 17171, 35883.0
139, 22208, -760, 17250, 37290.5
140, 22208, -760, 17250, 38698.0
141, 24416, -726, 17305, 39846.5
142, 24416, -726, 17305, 40995.0
143, 26305, -663, 17316, 41976.5
144, 26305, -663, 17316, 42958.0
145, 28252, -515, 17344, 44019.5
146, 28252, -515, 17344, 45081.0
147, 29169, -438, 17433, 45622.5
148, 29415, -456, 17425, 46274.0
149, 30004, -437, 17406, 46678.5
150, 30864, -341, 17431, 47463.5
151, 31245, -245, 17433, 48193.5
152, 31640, -167, 17435, 48670.5
153, 32466, -76, 17483, 49390.5
154, 32764, 57, 17512, 50103.0
155, 32764, 227, 17495, 50409.5
156, 32764, 451, 17479, 50590.0
157, 32764, 776, 17482, 50858.0
158, 32764, 1148, 17474, 51204.0
159, 32764, 1548, 17460, 51579.0
160, 32764, 1963, 17476, 51987.5
161, 32764, 2298, 17473, 52369.0
162, 32764, 2648, 17429, 52688.0
163, 32764, 3088, 17408, 53050.5
164, 32764, 3395, 17416, 53417.5
165, 32764, 3526, 17402, 53633.5
166, 32078, 3629, 17350, 53374.5
167, 31277, 3623, 17295, 52626.0
168, 30272, 3464, 17261, 51596.0
169, 29347, 3387, 17252, 50491.5
170, 28676, 3288, 17261, 49605.5
171, 27618, 2918, 17223, 48492.0
172, 26192, 2552, 17146, 46824.5
173, 25080, 2274, 17114, 45179.0
174, 24080, 1928, 17120, 43798.0
175, 22774, 1586, 17105, 42296.5
176, 21382, 1262, 17071, 40590.0
177, 20024, 949, 17045, 38866.5
178, 18615, 650, 17017, 37150.0
179, 17226, 650, 17017, 35587.5
180, 15774, 286, 16940, 33946.5
181, 15774, 286, 16940, 33000.0
182, 12662, -50, 16797, 31204.5
183, 12662, -50, 16797, 29409.0
184, 9849, -262, 16725, 27860.5
185, 9849, -262, 16725, 26312.0
186, 6816, -428, 16603, 24651.5
187, 6816, -428, 16603, 22991.0
188, 3773, -588, 16540, 21358.0
189, 3773, -588, 16540, 19725.0
190, 2277, -592, 16482, 18946.0
191, 799, -632, 16439, 17386.5
192, -717, -647, 16405, 15823.5
193, -2201, -630, 16363, 14286.5
194, -3612, -664, 16298, 12777.0
195, -5021, -688, 16233, 11273.0
196, -6489, -681, 16190, 9772.0
197, -9251, -665, 16144, 7624.0
198, -9251, -665, 16144, 6228.0
199, -12280, -711, 16004, 4620.5
200, -12280, -711, 16004, 3013.0
201, -13467, -616, 15985, 2457.5
202, -14610, -561, 15982, 1356.5
203, -16120, -612, 15906, -7.5
204, -17616, -654, 15790, -1653.0
205, -18808, -672, 15731, -3114.5
206, -20024, -726, 15710, -4394.5
207, -21310, -787, 15664, -5736.5
208, -22434, -818, 15606, -7039.5
209, -23633, -856, 15574, -8280.5
210, -25025, -899, 15570, -9634.5
211, -26157, -942, 15587, -10933.0
212, -26983, -1016, 15600, -11955.5
213, -27971, -1128, 15570, -12964.0
214, -29061, -1218, 15529, -14139.5
215, -29795, -1235, 15538, -15121.0
216, -30335, -1262, 15564, -15762.5
217, -31092, -1318, 15530, -16456.5
